value_id,name,description,value_type,importance,cultural_dimension,stakeholder_consensus,operationalization,conflict_potential,measurement_criteria,universality
VAL_001,Distributive Fairness,Equitable compensation relative to company profitability and industry standards,fairness,high,equality,0.8,transparent_criteria|comparable_wage_data,VAL_006,stakeholder_satisfaction|wage_gap_analysis,universal
VAL_002,Procedural Justice,Fair and transparent negotiation process with equal voice for all parties,procedural,fundamental,power_distance,0.95,equal_speaking_time|documented_procedures|neutral_facilitation,VAL_007,process_satisfaction|participation_rates,universal
VAL_003,Good Faith Bargaining,Honest and sincere engagement without intent to deceive or obstruct,ethical,fundamental,trust_orientation,0.9,timely_responses|information_sharing|compromise_willingness,,compliance_rates|trust_measures,universal
VAL_004,Dignity and Respect,Treating all parties with respect regardless of power differences,relational,high,individualism_collectivism,0.95,courteous_language|active_listening|no_personal_attacks,,grievance_rates|satisfaction_surveys,universal
VAL_005,Transparency,Open sharing of relevant information to enable informed decisions,ethical,high,uncertainty_avoidance,0.75,financial_disclosure|clear_rationale|accessible_data,VAL_009,information_accessibility|disclosure_completeness,context_dependent
VAL_006,Efficiency,Timely resolution that minimizes disruption and resource consumption,procedural,medium,time_orientation,0.7,streamlined_process|deadline_adherence|focused_agenda,VAL_001|VAL_002,time_to_agreement|cost_efficiency,universal
VAL_007,Hierarchy Respect,Acknowledging and working within organizational authority structures,cultural,medium,power_distance,0.6,proper_channels|authority_recognition|formal_protocols,VAL_002,protocol_compliance|authority_satisfaction,cultural_specific
VAL_008,Solidarity,Unity and mutual support among workers and union members,relational,high,collectivism,0.85,unified_positions|collective_action|member_loyalty,,participation_rates|cohesion_measures,cultural_specific
VAL_009,Confidentiality,Protecting sensitive information shared during negotiations,ethical,high,uncertainty_avoidance,0.8,non_disclosure_agreements|private_sessions|information_control,VAL_005,breach_incidents|trust_levels,universal
VAL_010,Sustainability,Creating durable agreements that serve long-term interests of all parties,relational,high,long_term_orientation,0.85,implementation_planning|monitoring_mechanisms|adaptive_clauses,,agreement_longevity|satisfaction_over_time,universal
VAL_011,Worker Safety,Prioritizing physical and psychological wellbeing of employees,ethical,fundamental,quality_of_life,0.95,safety_standards|risk_assessment|preventive_measures,,incident_rates|safety_compliance,universal
VAL_012,Financial Responsibility,Ensuring economic viability and fiscal prudence in agreements,distributive,high,uncertainty_avoidance,0.75,budget_adherence|cost_benefit_analysis|financial_projections,VAL_001,financial_metrics|budget_variance,universal
