outcome_id,name,type,achievement_level,associated_goals,metrics,value_alignment,contributing_events,lessons_learned,timestamp
OUT_001,Hiker located and evacuated successfully,success,0.95,GOAL_001|GOAL_009,"{""casualties"":0,""time_elapsed"":210,""resources_consumed"":65,""team_injuries"":0,""cost"":42000}",VAL_001:upheld|VAL_002:partial|VAL_003:upheld,EVT_002|EVT_003|EVT_004|EVT_005|EVT_012|EVT_013|EVT_014,thermal_imaging_critical|weather_monitoring_essential|rapid_deployment_effective|coordination_excellent,T+03:30
OUT_002,All field teams returned safely,success,1.0,GOAL_002,"{""team_injuries"":0,""equipment_losses"":0,""protocol_violations"":0}",VAL_003:upheld|VAL_008:upheld,EVT_002|EVT_003|EVT_006|EVT_010|EVT_015,safety_protocols_effective|check_in_system_worked|weather_monitoring_prevented_issues,T+06:00
OUT_003,Communication network maintained,success,0.98,GOAL_003,"{""network_uptime"":0.98,""backup_activations"":1,""communication_gaps"":0}",VAL_004:upheld|VAL_008:upheld,EVT_008,redundancy_essential|backup_systems_validated|training_effective,T+06:00
OUT_004,Medical response executed effectively,success,0.92,GOAL_005|GOAL_009,"{""response_time"":5,""treatment_quality"":0.95,""patient_outcome"":""stable""}",VAL_001:upheld|VAL_005:upheld,EVT_007|EVT_013|EVT_014,pre_positioning_crucial|training_validated|equipment_adequate,T+04:20
OUT_005,Resource management optimized,partial_success,0.75,GOAL_007,"{""budget_used"":42000,""budget_limit"":50000,""resource_efficiency"":0.84,""waste"":0.08}",VAL_002:upheld|VAL_007:partial,EVT_011,allocation_system_worked|some_overstock|resupply_timely,T+06:00
OUT_006,Weather risk mitigated successfully,success,0.88,GOAL_006,"{""forecast_accuracy"":0.9,""early_warnings"":3,""weather_related_incidents"":0}",VAL_005:upheld|VAL_006:upheld,EVT_010,specialist_expertise_valuable|early_warning_system_effective|monitoring_critical,T+06:00
OUT_007,Search coverage achieved in time,success,0.90,GOAL_004,"{""zones_covered"":4,""total_zones"":4,""coverage_time"":90,""target_time"":90}",VAL_006:upheld|VAL_008:upheld,EVT_002|EVT_003|EVT_004|EVT_009,deployment_strategy_effective|aerial_support_accelerated_search|dog_teams_valuable,T+01:30
OUT_008,Incident documentation completed,intermediate,0.65,GOAL_008,"{""photos_taken"":47,""timeline_accuracy"":0.95,""decisions_logged"":0.6}",VAL_009:partial,EVT_001|EVT_002|EVT_003|EVT_004|EVT_005|EVT_012,real_time_logging_difficult|post_mission_review_needed|camera_systems_helpful,T+05:00
OUT_009,Hypothermia risk managed,success,0.85,GOAL_001,"{""patient_core_temp"":35.2,""warming_initiated"":""T+03:20"",""hypothermia_severity"":""mild""}",VAL_001:upheld|VAL_005:upheld,EVT_005|EVT_006|EVT_012|EVT_013,rapid_location_prevented_severe_hypothermia|shelter_deployment_effective|medical_response_timely,T+03:30
OUT_010,Multi-team coordination successful,success,0.93,GOAL_002|GOAL_003|GOAL_004,"{""teams_deployed"":4,""coordination_incidents"":0,""unified_command"":true}",VAL_004:upheld|VAL_008:upheld,EVT_002|EVT_003|EVT_008|EVT_009,command_structure_clear|communication_protocols_effective|training_paid_off,T+06:00
