risk_id,description,risk_type,severity,likelihood,affected_entities,trigger_conditions,warning_indicators,mitigation_strategies,time_horizon,controllability,cascading_potential
RISK_001,Negotiation breakdown leading to prolonged strike,breakdown,high,0.4,ACT_001|ACT_002|GOAL_001,deadline_expires|impasse_declared,hardened_positions|public_rhetoric_escalation,extend_deadline|bring_in_mediator,short_term,partially_controllable,TRUE
RISK_002,Loss of public support for union position,reputational,medium,0.3,ACT_001|GOAL_001,excessive_demands|work_stoppage,negative_media_coverage|community_complaints,transparent_communication|community_engagement,medium_term,partially_controllable,TRUE
RISK_003,Plant closure or relocation,financial,catastrophic,0.15,ACT_001|ACT_005|GOAL_001,costs_exceed_threshold|prolonged_disruption,executive_meetings|competitor_expansion,demonstrate_flexibility|productivity_improvements,long_term,partially_controllable,TRUE
RISK_004,Worker dissatisfaction with final agreement,relational,medium,0.5,ACT_001|ACT_004|GOAL_009,perceived_inadequate_gains|poor_communication,member_complaints|low_participation,transparent_rationale|member_engagement,short_term,fully_controllable,FALSE
RISK_005,Legal challenges to negotiation process,legal,high,0.2,ACT_002|GOAL_010,procedural_violations|discrimination_claims,lawyer_involvement|regulatory_inquiries,follow_legal_procedures|document_everything,medium_term,fully_controllable,TRUE
RISK_006,Management override of negotiated terms,implementation,high,0.25,ACT_001|ACT_002|GOAL_001,board_rejection|financial_crisis,executive_resistance|budget_cuts,binding_language|penalty_clauses,short_term,partially_controllable,TRUE
RISK_007,Escalation to industry-wide labor action,escalation,high,0.2,ACT_002|ACT_007|GOAL_004,strike_occurs|other_unions_join,solidarity_pledges|cross_industry_coordination,isolated_resolution|pattern_bargaining,medium_term,uncontrollable,TRUE
RISK_008,Damage to long-term labor relations,relational,medium,0.45,ACT_001|ACT_002|GOAL_009,adversarial_tactics|trust_violations,increased_grievances|reduced_cooperation,relationship_building|joint_committees,long_term,fully_controllable,FALSE
RISK_009,Shareholder backlash against high settlement,financial,medium,0.35,ACT_007|GOAL_002,costs_exceed_projections|earnings_impact,stock_price_decline|activist_pressure,justify_long_term_value|communication_strategy,short_term,partially_controllable,TRUE
RISK_010,Mediator withdrawal from process,procedural,medium,0.15,ACT_001|ACT_002|ACT_003,lack_of_good_faith|personal_attacks,mediator_frustration|missed_sessions,respectful_engagement|process_commitment,immediate,fully_controllable,FALSE
