event_id,description,event_type,timestamp,initiating_actor,affected_actors,magnitude,reversibility,visibility,strategic_purpose,information_revealed,emotional_valence
EVT_001,Union presents opening demand of 12% wage increase,offer,2024-01-15T14:30:00Z,ACT_001,ACT_002,0.9,FALSE,public,anchoring,,neutral
EVT_002,Management counters with 4% wage offer,counteroffer,2024-01-16T10:00:00Z,ACT_002,ACT_001,0.7,FALSE,public,testing_limits,,negative
EVT_003,Union shares strike authorization vote results (87% approval),information_sharing,2024-01-17T09:00:00Z,ACT_001,ACT_002|ACT_003,0.8,FALSE,public,applying_pressure,strike_readiness,neutral
EVT_004,Mediator proposes 6% wage increase with safety improvements,offer,2024-01-20T15:30:00Z,ACT_003,ACT_001|ACT_002,0.75,TRUE,private,building_compromise,,positive
EVT_005,Management reveals budget constraints due to market conditions,information_sharing,2024-01-22T11:00:00Z,ACT_002,ACT_001|ACT_003,0.6,FALSE,confidential,building_rapport,budget_limitations,neutral
EVT_006,Union reduces demand to 9% with benefit protections,concession,2024-01-24T14:00:00Z,ACT_001,ACT_002,0.65,FALSE,public,reciprocity_signal,,positive
EVT_007,Management increases offer to 5.5% with enhanced safety program,counteroffer,2024-01-27T10:30:00Z,ACT_002,ACT_001,0.7,FALSE,public,narrowing_gap,,positive
EVT_008,Workers hold informational picket outside plant,threat,2024-01-29T07:00:00Z,ACT_005,ACT_002|ACT_007,0.85,TRUE,public,applying_pressure,,negative
EVT_009,CFO threatens plant closure if costs exceed 6%,ultimatum,2024-01-31T16:00:00Z,ACT_007,ACT_001|ACT_002,0.95,FALSE,private,hardline_stance,closure_risk,negative
EVT_010,Emergency mediation session called,procedural,2024-02-01T08:00:00Z,ACT_003,ACT_001|ACT_002,0.8,FALSE,private,crisis_intervention,,neutral
EVT_011,Union accepts 6.5% over 2 years with safety provisions,acceptance,2024-02-10T16:45:00Z,ACT_001,ACT_002,0.9,FALSE,public,reaching_agreement,,positive
EVT_012,Management ratifies agreement pending board approval,acceptance,2024-02-10T17:30:00Z,ACT_002,ACT_001,0.9,FALSE,public,reaching_agreement,,positive
